lao_translate	viet	score
Tôi chú ý đến vấn đề giáo dục - trong thực tế tôi thấy rằng mọi người đều quan tâm đến giáo dục.	Tôi có mối quan tâm đến vấn đề giáo dục — trên thực tế tôi thấy tất cả mọi người đều quan tâm đến giáo dục.	8.5
Tôi quan tâm đến vấn đề giáo dục, và tôi nghĩ tất cả chúng ta đều có như vậy.	Tôi có mối quan tâm lớn tới giáo dục và tôi nghĩ tất cả chúng ta đều vậy.	8.75
Điểm tương đồng của mỗi chương là các em sẽ làm những điều mà chúng nghĩ đến chúng sẽ không biết, chúng sẽ cố gắng không do dự	Điểm chung của những câu chuyện này là trẻ con sẽ làm những điều chúng nghĩ Nếu chúng không biết, chúng vẫn thử làm mà không do dự.	9.0
Những gì tôi đang cố gắng nói ở đây không phải là nó sai và sự sáng tạo là cùng một thứ.	Điều tôi muốn nói ở đây không có nghĩa sai và sáng tạo là hai thứ đồng nhất.	9.5
Ông cho biết tất cả trẻ em đều là nghệ sĩ bẩm sinh.	Ông đã nói tất cả mọi đứa trẻ khi sinh ra đều là nghệ sĩ.	9.0
Bạn có thể tưởng tượng nó không bị cản trở như thế nào.	Quý vị có thể hình dung được đó là một sự thay đổi trơn tru thế nào rồi đấy.	8.5
Trẻ em luôn nhảy múa nếu chúng được phép, tất cả chúng ta cũng vậy.	Trẻ em sẽ nhảy múa cả ngày nếu chúng được phép, tất cả chúng ta đều thế.	9.0
Ngày nay, hệ thống giáo dục của chúng ta dựa trên nền tảng ý tưởng và khả năng học tập.	Hệ thống giáo dục hiện nay dựa trên quan niệm về khả năng học thuật.	8.5
Và thứ hai là năng lực học thuật, đó là nhận thức và quan điểm của chúng ta về trí thông minh, bởi vì các trường đại học thiết kế hệ thống theo ý tưởng của họ.	Điều thứ hai là khả năng học thuật, cái mà đã ngự trị cách nhìn nhận của chúng ta về trí thông minh, bởi các trường đại học đã vạch ra hệ thống này theo ý họ.	8.5
Nếu bạn để ý, toàn bộ hệ thống giáo dục đại chúng trên toàn thế giới là một quá trình dài để vào đại học.	Nếu bạn để ý, toàn bộ hệ thống giáo dục công trên thế giới là một quá trình kéo dài để dẫn tới cổng trường đại học.	9.0
Trong 30  năm tới, theo  UNESCO,  nhiều người trên thế giới sẽ tốt nghiệp giáo dục hơn bao giờ hết trong lịch sử.	Trong 30 năm tới, theo UNESCO, số người tốt nghiệp trên toàn thế giới qua học hành, là lớn nhất trong lịch sử.	8.75
Có rất nhiều nghiên cứu ngoài kia, nhưng tôi biết từ kinh nghiệm cá nhân.	Có hàng đống nghiên cứu, nhưng tôi hiểu nó từ kinh nghiệm bản thân.	9.5
