ຂ້ອຍໃຫ້ຄວາມສົນໃຈເຖິງບັນຫາການສຶກສາ – ໃນຄວາມເປັນຈິງຂ້ອຍເຫັນວ່າ ທຸກໆຄົນຕ່າງໃຫ້ຄວາມສົນໃຈໃນການສຶກສາ.	Tôi rất quan tâm đến giáo dục, đó thực sự là mối quan tâm của mọi người.
"ຂ້າພະເຈົ້າມີຄວາມສົນໃຈກ່ຽວກັບປະເດັນການສຶກສາ, ແລະ ຄິດວ່າເຮົາທຸກຄົນມີຄືກັນໝົດ."	Tôi nhấn mạnh rất nhiều vào giáo dục, và tôi tin rằng đây là mối quan tâm chung cho tất cả chúng ta.
ສິ່ງທີ່ຂ້ອຍຢາກເວົ້າຢູ່ນີ້ບໍ່ໄດ້ໝາຍຄວາມວ່າຜິດ ແລະ ຄວາມຄິດປະດິດແມ່ນ ສອງ ຢ່າງແມ່ນອັນດຽວກັນ.	Điều tôi muốn nhấn mạnh là sai lầm và sáng tạo không phải là những ý tưởng giống nhau.
ລາວໄດ້ເວົ້າວ່າ ເດັກທຸກຄົນເກີດມາລ້ວນເປັນນັກສິລະປະໝົດ.	Ông từng nói rằng mỗi đứa trẻ sinh ra đều có phẩm chất của một nghệ sĩ.
ພວກທ່ານສາມາດຈິນຕະນາການອອກວ່າມັນເປັນການປ່ຽນແປງທີ່ປາສະຈາກຂໍ້ຂັດຂ້ອງຂະໜາດໃດ.	Bạn có thể tưởng tượng quá trình chuyển đổi này sẽ thoải mái như thế nào.
"ເດັກນ້ອຍຈະເຕັ້ນຢູ່ຕະຫຼອດເວລາ ຖ້າເຂົາໄດ້ຮັບອະນຸຍາດ, ພວກເຮົາທຸກຄົນຄືກັນ."	Trẻ em sẽ nhảy cả ngày nếu chúng có thể nhảy, và vâng,  tất cả chúng ta cũng vậy.
"ມັນມີຫຍັງແປກໆກ່ຽວກັບສາດສະດາຈານ ຕາມປະສົບການຂອງຂ້າພະເຈົ້ານ່ະ - ບໍ່ແມ່ນໝົດທຸກຄົນດອກ, ແຕ່ຕາມແບບແລ້ວ - ເຂົາເຈົ້າອາໄສຢູ່ໃນຫົວຂອງເຂົາເອງ."	Theo kinh nghiệm của tôi, một trong những điều thú vị về các giáo sư - không phải tất cả mọi người, nhưng đó là điều bình thường - là họ có xu hướng sống trong thế giới riêng của họ.
ປັດຈຸບັນນີ້ ລະບົບການສຶກສາຂອງພວກເຮົາແມ່ນໄດ້ອີງໃສ່ພື້ນຖານຂອງແນວຄວາມຄິດແລະຄວາມສາມາດທາງວິຊາການ.	Hệ thống giáo dục hiện tại dựa trên khái niệm năng lực giáo dục.
"ແລະ ອັນທີສອງ ແມ່ນຄວາມສາມາດທາງວິຊາໄອທີ, ເຊິ່ງແມ່ນຄວາມຮັບຮູ້ແລະມຸມມອງຂອງເຮົາຕໍ່ກັບຄວາມສະຫຼາດ, ເພາະວ່າມະຫາວິທະຍາໄລ ໄດ້ອອກແບບລະບົບຕາມຄວາມຄິດຂອງເຂົາ."	Thứ hai là năng lực giáo dục đã chi phối cách chúng ta nhìn vào trí thông minh, bởi vì các trường đại học đã đặt hệ thống này trong quan điểm của họ.
"ຖ້າທ່ານສັງເກດ, ລະບົບທັງໝົດ ຂອງການສຶກສາມວນຊົນທົ່ວໂລກແມ່ນຂະບວນການຍາວນານ ເພື່ອຂອງການເຂົ້າມະຫາວິທະຍາໄລ."	Nếu bạn để ý,  hệ thống giáo dục của tất cả các xã hội trên thế giới dường như là một quá trình chuẩn bị đại học lâu dài.
"ໃນ 30 ປີ ຕໍ່ໜ້າ, ອີງຕາມອົງການ UNESCO, ຈະມີຄົນທົ່ວໂລກທີ່ຈະຈົບ ຈາກການສຶກສາຫຼາຍກວ່າທີ່ເຄີຍມີມາໃນປະຫວັດສາດ."	Trong  30 năm tới, theo UNESCO,  số người tốt nghiệp thông qua giáo dục trên toàn thế giới sẽ đạt mức cao nhất trong lịch sử.
